customerId,ssn,fullName,age,city,postalCode,street,registrationDate
"01GW8XRBRKQG48KDE3NV66AFZN",417836902,"Oliver Woodard",42,"Tokyo","N3T 1L3","51 Cedar Street","2023-03-28"
"01GW8XRBRMAX9JGMT4BWRY54PX",961552977,"Maggie Rayburn",27,"New York City","V6H 1E3","18 Elm Avenue","2023-03-28"
"01GW8XRBRMGNZTJSHBDKBB7NV9",308664841,"Maximilian Hurley",19,"São Paulo","M4P 2H9","79 Pine Road","2023-03-28"
"01GW8XRBRMBB7W1MDY2Y8X0ZYA",754511684,"Sophie Whitaker",36,"Seoul","L5M 6W1","63 Oak Lane","2023-03-28"
"01GW8XRBRMMRWTY3H7CB238M8H",602982865,"Duncan Parrish",55,"Mexico City","T2J 4H7","42 Birch Drive","2023-03-28"
"01GW8XRBRMWS2KPPPV9N0N0NQ9",543915726,"Natalie Espinoza",29,"Jakarta","L3M 3T9","15 Maple Court","2023-03-28"
"01GW8XRBRM77WTBJX92B5842CH",287201447,"Graham McCallum",63,"Osaka","T3G 4M7","26 Willow Way","2023-03-28"
"01GW8XRBRMQHGPS5JWC7VPXH9B",984273039,"Jasmine Faulkner",47,"Manila","L1S 4N7","56 Ash Circle","2023-03-28"
"01GW8XRBRNP9AVX5JCRD886EAP",782798630,"Jacob Wilcox",31,"Mumbai","L4B 4M6","37 Laurel Boulevard","2023-03-28"
"01GW8XRBRN91YE9NCY05SKDCD8",899377469,"Dahlia Huffman",24,"Delhi","V5Z 4J5","48 Sycamore Place","2023-03-28"
"01GW8XRBRNNR9FGMS12TAZN7P9",322355568,"Quentin Akers",58,"Shanghai","M2N 6Z4","33 Cedar Street","2023-03-28"
"01GW8XRBRNBYK627YVHDKM2TNJ",443934342,"Savannah Gorman",45,"Los Angeles","V7V 1H9","24 Elm Avenue","2023-03-28"
"01GW8XRBRN5VME2SXNHFQEAPFJ",142921548,"Luke Devlin",38,"Moscow","T5J 3S4","70 Pine Road","2023-03-28"
"01GW8XRBRN3YY82RD27BZ96P7Y",520534011,"Lydia Sheffield",22,"Cairo","L5R 3N8","55 Oak Lane","2023-03-28"
"01GW8XRBRN3K19SK32ARWWX34T",679341706,"Gavin Beckett",51,"Paris","V1Y 9N2","38 Birch Drive","2023-03-28"
"01GW8XRBRNDAT93YXVKJZPP9JA",744391617,"Hazel McCulloch",33,"Chicago","M5J 2N8","11 Maple Court","2023-03-28"
"01GW8XRBRNBG4DK199H7XAKA0R",314799554,"Ethan Mahoney",41,"Bogotá","V5N 1J1","22 Willow Way","2023-03-28"
"01GW8XRBRNV56W644G44TDB0S0",277557238,"Phoebe Davenport",48,"Bangkok","V3R 6N7","52 Ash Circle","2023-03-28"
"01GW8XRBRPQP6PKDFCD9WK7VGB",919743033,"William Wainwright",26,"Beijing","L6P 2P9","43 Laurel Boulevard","2023-03-28"
"01GW8XRBRPRAH7G4XP3GREYHGK",441963456,"Emma Hawthorne",30,"London","T2J 5E5","54 Sycamore Place","2023-03-28"
"01GW8XRBRPMEPJV65MP1SV6N8Y",851901630,"Julian Swanson",53,"Lima","L5B 3Z7","41 Cedar Street","2023-03-28"
"01GW8XRBRPJ8KV8J8TG04VH698",701760959,"Avery Summers",20,"Tehran","M4T 1L1","20 Elm Avenue","2023-03-28"
"01GW8XRBRPDD4K7A3QR7TENTTN",207074802,"Adrianne Donovan",44,"Ho Chi Minh City","V6M 3W7","76 Pine Road","2023-03-28"
"01GW8XRBRPE5YEQD5QVGC7JYKV",871800045,"Sebastian Werner",35,"Bengaluru","T2X 0V1","61 Oak Lane","2023-03-28"
"01GW8XRBRP6EW18FES04NGA9C5",579582427,"Ava Blevins",52,"Hong Kong","V5R 4R4","46 Birch Drive","2023-03-28"
"01GW8XRBRPV9YMBPT9ZVXTAS0S",726360058,"Jackson Hutton",43,"Chennai","T2H 2K6","19 Maple Court","2023-03-28"
"01GW8XRBRPHA7VDD8M8MT4DPB9",566332026,"Lila Greene",50,"Rio de Janeiro","L9S 4T8","30 Willow Way","2023-03-28"
"01GW8XRBRPBPX13N2R2J50SJ4A",786266067,"Oscar Donnelly",57,"Istanbul","V7Y 1K8","60 Ash Circle","2023-03-28"
"01GW8XRBRPYA9G0FF4E0XW3QTP",272737980,"Marley Heath",39,"Shenzhen","L6P 3P4","35 Laurel Boulevard","2023-03-28"
"01GW8XRBRP1MJTH496PNM6Y3AZ",628239155,"Rhys Moffett",21,"Lahore","L1T 4Z6","46 Sycamore Place","2023-03-28"
"01GW8XRBRPER4VY8WZ20HF0S4M",809167230,"Lena Jamison",40,"Buenos Aires","V3Y 0E3","55 Cedar Street","2023-03-28"
"01GW8XRBRQE5BNAYW9R2BQSEP4",928521776,"Carter Leach",54,"Kinshasa","L3T 4P1","16 Elm Avenue","2023-03-28"
"01GW8XRBRQN6K9MEPZ6222ACHR",148736890,"Aubrey Bouchard",25,"Tianjin","M4R 1K8","73 Pine Road","2023-03-28"
"01GW8XRBRQ93TRK698PC8H0711",936087033,"Trevor Fournier",46,"Chongqing","T2J 2P2","58 Oak Lane","2023-03-28"
"01GW8XRBRQHA1Z6BTWT1E6QK47",965482759,"Gabriella Mendoza",34,"Guangzhou","L5N 6N4","41 Birch Drive","2023-03-28"
"01GW8XRBRQXKTGCXMPV3MKBYZF",662245764,"Dante Higgins",28,"Mumbai","M6C 2X4","14 Maple Court","2023-03-28"
"01GW8XRBRQ0MCZF0DGXR7E5MRY",301502883,"Bridgette Soto",56,"Karachi","V5N 4B7","25 Willow Way","2023-03-28"
"01GW8XXQJJY21BWVR1N7CD4X4W",216905695,"Damian Snow",23,"Dhaka","T2S 1T4","55 Ash Circle","2023-03-28"
"01GW8XXQJJ49MSZJW1DDDBAAGB",175580389,"Lorelei Ritter",38,"Nanjing","V6J 4G9","36 Laurel Boulevard","2023-03-28"
"01GWB55V6Q7MMQGGCB4CR3EG69",548338135,"Tristan Andrade",22,"Baghdad","M5S 1V6","47 Sycamore Place","2023-03-28"
"01GWGKK80VA5DDW1H2TMZPAVBK",188262413,"Carrie Henderson",51,"Bangalore","L4C 5K5","49 Cedar Street","2023-03-28"
"01GWGKK80W44N3CW8GPY1BT3VZ",364914231,"Carrie Ortiz",33,"Hanoi","V5Z 3X9","22 Elm Avenue","2023-03-28"
"01GWGKK80W7044VT8VDHC5G1PM",990667711,"Dr. Shannon Anderson",41,"Bangui","M2N 5Y7","77 Pine Road","2023-03-28"
"01GWGKK80WCZT0KPQYQC27NMRP",794072258,"George Martinez",48,"Kuala Lumpur","L5N 2W2","62 Oak Lane","2023-03-28"
"01GWGKK80WP8CF8JYX83VP5VAK",414008164,"Jerry Gonzales",26,"Miami","T2J 0N3","43 Birch Drive","2023-03-28"
"01GWGKK80X74F7VER403NAPDS5",878015439,"Melissa Ward",30,"Philadelphia","L3T 7Y3","16 Maple Court","2023-03-28"
"01GWGKK80XM8SKSQ45Y7513391",846825655,"Tracy Wheeler",53,"Madrid","V7T 1W5","27 Willow Way","2023-03-28"
"01GWGKK80XMQPNT5N477SN0QA9",637052567,"Ashley Lewis",20,"Houston","L9X 0T6","57 Ash Circle","2023-03-28"
"01GWGKK80XR3QNT8QDT4JEM28R",867462522,"Hayden Guerrero",44,"Washington, D.C.","L1T 0K2","38 Laurel Boulevard","2023-03-28"
"01GWGKK80XTRXRA10892ZA193J",223238750,"Joann Taylor",35,"Toronto","V5R 2P2","49 Sycamore Place","2023-03-28"
"01GWGKK80XW7X2S19JXFJJCDDR",375728013,"Shannon Hill",52,"Atlanta","T2J 3K1","52 Cedar Street","2023-03-28"
"01GWGKK80XZ4PPEWZEM0YV01HA",305292047,"David Baker",43,"Milan","L5N 7M5","19 Elm Avenue","2023-03-28"
