employeeId,ssn,fullName,age,city,postalCode,street,hotelId
"01GW8WHMDSFS201Q9K4KGDWRSC",120456789,"Megan Davis",42,"Barcelona","A1B2C3","43 Maple Avenue","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDTYZZ4KSTVJADA3CC0",543987654,"Juan Hernandez",27,"Sydney","L6A4E2","65 Birch Street","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDTJZHGN1NYMXC7DA1R",983765432,"Emily Kim",19,"Amsterdam","N4G6H8","91 Cedar Lane","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDT3THC0VH4X36XJWG4",443495504,"Liam Jones",36,"Vancouver","V5S2P6","412 Oak Avenue","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDT82SSJ379G349F1PJ",775396535,"Sophie Lee",55,"Rio de Janeiro","M9W1S7","21 Elm Street","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDTTPC79ZQYVHDFFDKX",801235829,"Oliver Brown",29,"Tokyo","K7M5V1","22 Willow Lane","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDTWEGZN7BD0GV0DSJ9",881385724,"Isabella Nguyen",63,"San Francisco","G1V2J3","74 Pine Street","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDTW6M89ZDATNH3DKBM",458296923,"William Chen",47,"Dubai","V9Y8J2","43 Magnolia Drive","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDV4FX343WWPPF84M2B",129942193,"Ava Rodriguez",31,"Montreal","L3P2P7","12 Chestnut Road","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDVW2608E46YQ8RR8T1",604832544,"Ethan Taylor",24,"Seoul","H1N3V1","6 Sycamore Lane","01GW8S5TTSW8R3G1CRRFVQQF7F"
"01GW8WHMDVCATZ5B9SXP8AG7NQ",942374166,"Mia Wilson",58,"Cape Town","R3T5V6","54 Hickory Street","01GW8S5TTSW8R3G1CRRFVQQF7F"
